City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,288.05,88,100,4.47,NZ,1684503973
1,sandpoint,48.2766,-116.5533,288.94,93,0,0.0,US,1684504144
2,klyuchi,52.2667,79.1667,288.72,32,0,7.16,RU,1684504187
3,port-aux-francais,-49.35,70.2167,277.98,63,5,13.21,TF,1684504187
4,west island,-12.1568,96.8225,301.14,74,40,4.12,CC,1684504187
5,berezovyy,51.6667,135.7,280.8,89,100,1.4,RU,1684504187
6,nova sintra,14.8667,-24.7167,293.93,78,67,9.39,CV,1684504187
7,blackmans bay,-43.0167,147.3167,277.89,92,39,2.81,AU,1684504187
8,adamstown,-25.066,-130.1015,297.28,79,27,7.73,PN,1684504188
9,albany,42.6001,-73.9662,288.72,67,9,2.24,US,1684503929
10,balabac,7.9868,117.0645,300.92,81,65,2.46,PH,1684504188
11,hawaiian paradise park,19.5933,-154.9731,295.39,89,75,2.57,US,1684504188
12,tiksi,71.6872,128.8694,272.79,80,100,12.41,RU,1684504188
13,port mathurin,-19.6833,63.4167,298.86,76,9,5.85,MU,1684504188
14,romny,50.751,33.4747,294.47,57,86,2.85,UA,1684504188
15,badger,64.8,-147.5333,282.67,51,20,4.12,US,1684504188
16,bilibino,68.0546,166.4372,273.84,93,100,1.59,RU,1684504189
17,la'ie,21.6477,-157.9253,297.13,86,100,2.11,US,1684504189
18,port elizabeth,-33.918,25.5701,292.09,79,75,2.57,ZA,1684504050
19,invercargill,-46.4,168.35,282.44,93,100,1.13,NZ,1684504189
20,polyarnyy,69.1989,33.4478,283.79,61,100,7.24,RU,1684504189
21,susuman,62.7833,148.1667,274.99,79,100,0.54,RU,1684504189
22,lihue,21.9789,-159.3672,296.73,90,100,2.57,US,1684504189
23,videira,-27.0083,-51.1517,295.11,38,54,0.84,BR,1684504167
24,ilulissat,69.2167,-51.1,281.16,42,40,4.63,GL,1684504189
25,vytegra,61.0064,36.4481,280.89,77,100,3.55,RU,1684504190
26,eirunepe,-6.6603,-69.8736,301.08,77,80,1.73,BR,1684503946
27,gounou gaya,9.6294,15.5132,314.01,19,100,1.19,TD,1684504190
28,nar'yan-mar,67.6713,53.087,277.62,66,96,6.54,RU,1684504190
