City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,6.400000000000034,94,32,9.66,TF,1684745886
1,hithadhoo,-0.6,73.0833,28.53000000000003,71,15,0.8,MV,1684745928
2,dunedin,-45.8742,170.5036,9.890000000000043,77,89,1.34,NZ,1684745961
3,waitangi,-43.9535,-176.5597,11.57000000000005,88,68,0.45,NZ,1684745895
4,iskateley,67.6803,53.1512,21.100000000000023,43,16,4.05,RU,1684745925
5,tartagal,-22.5164,-63.8013,15.240000000000009,98,30,0.99,AR,1684746467
6,iqaluit,63.7506,-68.5145,-8.149999999999977,62,100,5.66,CA,1684745891
7,sisimiut,66.9395,-53.6735,-2.2099999999999795,71,0,4.87,GL,1684745970
8,ribeira grande,38.5167,-28.7,18.210000000000036,72,20,3.09,PT,1684745887
9,illizi,26.4833,8.4667,26.890000000000043,9,24,3.38,DZ,1684745970
10,grytviken,-54.2811,-36.5092,4.410000000000025,95,98,3.67,GS,1684745896
11,west island,-12.1568,96.8225,29.99000000000001,70,75,2.57,CC,1684745900
12,saint-joseph,-21.3667,55.6167,27.480000000000018,66,3,2.38,RE,1684746469
13,longyearbyen,78.2186,15.6401,3.910000000000025,70,75,8.23,SJ,1684745886
14,edinburgh of the seven seas,-37.0676,-12.3116,14.830000000000041,86,100,10.67,SH,1684745893
15,uturoa,-16.7333,-151.4333,27.28000000000003,79,9,3.8,PF,1684745893
16,la'ie,21.6477,-157.9253,25.980000000000018,79,17,3.58,US,1684745937
17,port mathurin,-19.6833,63.4167,24.760000000000048,73,0,2.56,MU,1684745719
18,bathsheba,13.2167,-59.5167,27.340000000000032,83,40,3.6,BB,1684745912
19,harnosand,62.6323,17.9379,19.010000000000048,72,86,3.76,SE,1684746470
20,uruzgan,32.8333,66.0,30.100000000000023,14,100,5.57,AF,1684746470
21,invercargill,-46.4,168.35,8.450000000000045,84,100,4.65,NZ,1684745905
22,akhtubinsk,48.2795,46.1722,15.140000000000043,86,100,7.01,RU,1684746471
23,adamstown,-25.066,-130.1015,24.28000000000003,83,97,9.42,PN,1684745890
24,la ronge,55.1001,-105.2842,8.140000000000043,61,0,1.54,CA,1684746300
25,arkhangel'sk,64.5401,40.5433,22.52000000000004,31,99,1.02,RU,1684746472
26,ishii,34.0667,134.4333,22.950000000000045,73,75,5.14,JP,1684746472
27,qamdo,31.1667,97.2333,9.32000000000005,39,100,5.03,CN,1684745970
28,lihue,21.9789,-159.3672,23.77000000000004,85,75,5.66,US,1684745914
29,alice town,25.7167,-79.3,26.379999999999995,72,94,2.37,BS,1684746201
30,necochea,-38.5473,-58.7368,15.150000000000034,97,100,2.17,AR,1684745960
31,bubaque,11.2833,-15.8333,26.730000000000018,74,56,3.32,GW,1684745975
32,albany,42.6001,-73.9662,11.520000000000039,89,4,0.45,US,1684745659
33,berezovyy,51.6667,135.7,17.170000000000016,38,18,1.72,RU,1684746474
34,papatowai,-46.5619,169.4708,9.310000000000002,80,100,5.71,NZ,1684745920
35,vilyuchinsk,52.9306,158.4028,2.150000000000034,89,100,4.32,RU,1684745910
36,ikovka,55.6089,64.9375,25.610000000000014,20,21,2.75,RU,1684746475
37,jamestown,42.097,-79.2353,8.800000000000011,89,0,1.54,US,1684745929
38,inhambane,-23.865,35.3833,23.75,67,52,7.14,MZ,1684745961
39,ouargaye,11.5033,0.0572,31.57000000000005,47,100,5.31,BF,1684746476
40,kingston,17.997,-76.7936,26.53000000000003,88,20,3.09,JM,1684745852
41,nova vicosa,-17.8919,-39.3719,22.310000000000002,72,55,3.16,BR,1684746404
42,magadan,59.5667,150.8,3.8500000000000227,85,91,2.26,RU,1684746477
43,bredasdorp,-34.5322,20.0403,14.730000000000018,54,100,3.81,ZA,1684745899
44,sampit,-2.5333,112.95,29.310000000000002,71,94,2.19,ID,1684746478
45,mejit,10.2753,170.8646,27.700000000000045,83,100,6.83,MH,1684745918
46,tiksi,71.6872,128.8694,-5.259999999999991,81,24,1.6,RU,1684745900
47,sivas,39.7916,37.0019,17.350000000000023,59,75,6.17,TR,1684746479
48,hadibu,12.65,54.0333,31.910000000000025,57,13,2.22,YE,1684745888
49,codrington,-38.2667,141.9667,12.100000000000023,81,100,3.92,AU,1684745914
50,nizhniy odes,63.6445,54.856,19.439999999999998,29,16,2.1,RU,1684746479
51,porto novo,6.4965,2.6036,28.900000000000034,73,100,1.54,BJ,1684745908
52,port douglas,-16.4833,145.4667,22.189999999999998,65,43,7.13,AU,1684746480
53,la passe,45.5549,-0.8967,19.129999999999995,81,99,2.59,FR,1684745937
54,maitum,6.0392,124.4986,28.680000000000007,78,86,2.43,PH,1684746480
55,camayenne,9.535,-13.6878,27.879999999999995,80,50,1.87,GN,1684746480
56,margaret river,-33.95,115.0667,19.54000000000002,67,7,4.05,AU,1684745891
57,keflavik,64.0049,-22.5624,6.240000000000009,70,75,12.86,IS,1684745996
58,lorengau,-2.0226,147.2712,26.720000000000027,84,100,7.06,PG,1684746481
59,blackwater,-23.5833,148.8833,15.910000000000025,35,0,3.6,AU,1684746482
60,kupang,-10.1667,123.5833,25.850000000000023,70,43,6.03,ID,1684745672
61,fale old settlement,-9.3852,-171.2468,28.75,76,98,4.97,TK,1684745904
62,blackmans bay,-43.0167,147.3167,14.07000000000005,63,61,4.32,AU,1684745887
63,kismayo,-0.3582,42.5454,29.629999999999995,66,7,4.95,SO,1684745937
64,puerto natales,-51.7236,-72.4875,-1.9599999999999795,89,56,1.9,CL,1684745896
65,midoun,33.8081,10.9923,22.920000000000016,62,0,4.85,TN,1684746483
66,nouadhibou,20.931,-17.0347,17.99000000000001,88,99,7.2,MR,1684745721
67,yellowknife,62.456,-114.3525,9.200000000000045,57,14,6.71,CA,1684746484
68,talas,38.6908,35.5538,21.370000000000005,40,75,1.03,TR,1684746484
69,quellon,-43.1167,-73.6167,0.1400000000000432,100,3,1.03,CL,1684745950
70,mahibadhoo,3.7833,72.9667,29.100000000000023,70,69,2.41,MV,1684746485
71,hirara,24.8,125.2833,28.150000000000034,89,75,6.69,JP,1684745927
